ticker,name,market
351330.KS,이삭엔지니어링,코스피
333620.KS,엔시스,코스피
289220.KS,자이언트스텝,코스피
361390.KS,제노코,코스피
347700.KS,스피어,코스피
302440.KS,SK바이오사이언스,코스피
314930.KS,바이오다인,코스피
950220.KS,네오이뮨텍,코스피
378850.KS,화승알앤에이,코스피
356890.KS,싸이버원,코스피
334970.KS,프레스티지바이오로직스,코스피
247660.KS,나노씨엠에스,코스피
338220.KS,뷰노,코스피
373200.KS,엑스플러스,코스피
340930.KS,유일에너테크,코스피
189330.KS,씨이랩,코스피
322310.KS,오로스테크놀로지,코스피
239890.KS,피엔에이치테크,코스피
363260.KS,모비데이즈,코스피
262840.KS,아이퀘스트,코스피
950210.KS,프레스티지바이오파마,코스피
277810.KS,레인보우로보틱스,코스피
321820.KS,아티스트컴퍼니,코스피
248070.KS,솔루엠,코스피
163730.KS,핑거,코스피
348030.KS,모비릭스,코스피
352700.KS,씨앤투스,코스피
375500.KS,DL이앤씨,코스피
236810.KS,엔비티,코스피
368770.KS,파이버프로,코스피
257990.KS,나우코스,코스피
253610.KS,루트락,코스피
365550.KS,ESR켄달스퀘어리츠,코스피
369370.KS,블리츠웨이엔터테인먼트,코스피
357550.KS,석경에이티,코스피
314130.KS,지놈앤컴퍼니,코스피
335810.KS,프리시젼바이오,코스피
347860.KS,알체라,코스피
365590.KS,하이딥,코스피
356860.KS,티엘비,코스피
352940.KS,인바이오,코스피
354200.KS,엔젠바이오,코스피
317690.KS,퀀타매트릭스,코스피
352770.KS,셀레스트라,코스피
318020.KS,포인트모바일,코스피
129890.KS,앱코,코스피
265740.KS,엔에프씨,코스피
199820.KS,제일일렉트릭,코스피
299030.KS,하나기술,코스피
244920.KS,에이플러스에셋,코스피
340570.KS,티앤엘,코스피
348150.KS,고바이오랩,코스피
330860.KS,네패스아크,코스피
339770.KS,교촌에프앤비,코스피
290690.KS,소룩스,코스피
348350.KS,위드텍,코스피
347000.KS,센코,코스피
301300.KS,바이브컴퍼니,코스피
122830.KS,원포유,코스피
214610.KS,더바이오메드,코스피
304840.KS,피플바이오,코스피
352820.KS,하이브,코스피
348210.KS,넥스틴,코스피
126340.KS,비나텍,코스피
359090.KS,씨엔알리서치,코스피
323990.KS,박셀바이오,코스피
363280.KS,티와이홀딩스,코스피
318410.KS,비비씨,코스피
355150.KS,코스텍시스,코스피
347770.KS,핌스,코스피
291650.KS,압타머사이언스,코스피
294090.KS,이오플로우,코스피
293490.KS,카카오게임즈,코스피
347740.KS,피엔케이피부임상연구센타,코스피
357120.KS,코람코라이프인프라리츠,코스피
332370.KS,아이디피,코스피
331920.KS,셀레믹스,코스피
950190.KS,고스트스튜디오,코스피
337930.KS,젝시믹스,코스피
348950.KS,제이알글로벌리츠,코스피
357780.KS,솔브레인,코스피
357250.KS,미래에셋맵스리츠,코스피
350520.KS,이지스레지던스리츠,코스피
332570.KS,PS일렉트로닉스,코스피
101360.KS,에코앤드림,코스피
347890.KS,엠투아이,코스피
298540.KS,더네이쳐홀딩스,코스피
225220.KS,제놀루션,코스피
304100.KS,솔트룩스,코스피
266470.KS,바이오인프라생명과학,코스피
277880.KS,티에스아이,코스피
262260.KS,에이프로,코스피
334890.KS,이지스밸류플러스리츠,코스피
950200.KS,소마젠,코스피
290520.KS,신도기연,코스피
330350.KS,위더스제약,코스피
326030.KS,에스케이바이오팜,코스피
169330.KS,엠브레인,코스피
229000.KS,젠큐릭스,코스피
322970.KS,무진메디,코스피
297890.KS,HB솔루션,코스피
351320.KS,넥사다이내믹스,코스피
298060.KS,에스씨엠생명과학,코스피
353190.KS,휴럼,코스피
353810.KS,이지바이오,코스피
223250.KS,드림씨아이에스,코스피
353200.KS,대덕전자,코스피
343090.KS,HLB사이언스,코스피
198080.KS,캐프,코스피
237820.KS,플레이디,코스피
204270.KS,제이앤티씨,코스피
274090.KS,켄코아에어로스페이스,코스피
294140.KS,레몬,코스피
294630.KS,서남,코스피
344820.KS,케이씨씨글라스,코스피
340440.KS,세림B&G,코스피
341310.KS,이앤에치,코스피
311690.KS,CJ 바이오사이언스,코스피
238170.KS,엔에스엠,코스피
327260.KS,RF머트리얼즈,코스피
339950.KS,아이비김영,코스피
288330.KS,브릿지바이오,코스피
340360.KS,다보링크,코스피
235980.KS,메드팩토,코스피
336570.KS,원텍,코스피
226330.KS,신테카바이오,코스피
322510.KS,제이엘케이,코스피
124560.KS,태웅로직스,코스피
335870.KS,윙스풋,코스피
317860.KS,노드메이슨,코스피
302550.KS,리메드,코스피
338100.KS,NH프라임리츠,코스피
335890.KS,비올,코스피
336040.KS,타스컴,코스피
250030.KS,진코스텍,코스피
336060.KS,웨이버스,코스피
337840.KS,유엑스엔,코스피
278650.KS,HLB바이오스텝,코스피
308170.KS,씨티알모빌리티,코스피
321550.KS,티움바이오,코스피
297090.KS,씨에스베어링,코스피
103840.KS,우양,코스피
190650.KS,코리아에셋투자증권,코스피
322000.KS,HD현대에너지솔루션,코스피
306040.KS,에스제이그룹,코스피
216080.KS,제테마,코스피
272210.KS,한화시스템,코스피
214260.KS,라파스,코스피
333430.KS,일승,코스피
317400.KS,자이에스앤디,코스피
279600.KS,미디어젠,코스피
322180.KS,LS티라유텍,코스피
333050.KS,모코엠시스,코스피
330590.KS,롯데리츠,코스피
331520.KS,밸로프,코스피
317530.KS,캐리소프트,코스피
331660.KS,한국미라클피플사,코스피
272110.KS,케이엔제이,코스피
317870.KS,엔바이오니아,코스피
318010.KS,팜스빌,코스피
336260.KS,두산퓨얼셀,코스피
300120.KS,라온피플,코스피
336370.KS,솔루스첨단소재,코스피
158430.KS,아톤,코스피
234690.KS,녹십자웰빙,코스피
332290.KS,누보,코스피
331380.KS,포커스에이아이,코스피
244460.KS,올리패스,코스피
317120.KS,라닉스,코스피
320000.KS,한울반도체,코스피
256150.KS,한독크린텍,코스피
149300.KS,아퓨어스,코스피
311390.KS,네오크레마,코스피
195500.KS,마니커에프앤지,코스피
328380.KS,솔트웨어,코스피
286750.KS,나노실리칸첨단소재,코스피
317830.KS,에스피시스템스,코스피
228670.KS,레이,코스피
186230.KS,그린플러스,코스피
282880.KS,코윈테크,코스피
317330.KS,덕산테코피아,코스피
318000.KS,KBG,코스피
317770.KS,엑스페릭스,코스피
148150.KS,세경하이테크,코스피
313760.KS,캐리,코스피
317850.KS,대모,코스피
241840.KS,에이스토리,코스피
300080.KS,플리토,코스피
234340.KS,헥토파이낸셜,코스피
289010.KS,아이스크림에듀,코스피
327610.KS,펨토바이오메드,코스피
251970.KS,펌텍코리아,코스피
312610.KS,에이에프더블류,코스피
323280.KS,태성,코스피
293780.KS,압타바이오,코스피
308100.KS,형지글로벌,코스피
305090.KS,마이크로디지탈,코스피
322780.KS,코퍼스코리아,코스피
321260.KS,프로이천,코스피
253840.KS,수젠텍,코스피
307930.KS,컴퍼니케이,코스피
319660.KS,피에스케이,코스피
319400.KS,현대무벡스,코스피
317240.KS,TS트릴리온,코스피
279060.KS,이노벡스,코스피
125210.KS,아모그린텍,코스피
307950.KS,현대오토에버,코스피
228760.KS,지노믹트리,코스피
100790.KS,미래에셋벤처투자,코스피
192650.KS,드림텍,코스피
192080.KS,더블유게임즈,코스피
247540.KS,에코프로비엠,코스피
299660.KS,셀리드,코스피
316140.KS,우리금융지주,코스피
278280.KS,천보,코스피
246960.KS,SCL사이언스,코스피
104620.KS,노랑풍선,코스피
311060.KS,엘에이티,코스피
298690.KS,에어부산,코스피
238200.KS,비피도,코스피
263050.KS,유틸렉스,코스피
290550.KS,디케이티,코스피
307180.KS,아이엘,코스피
310200.KS,애니플러스,코스피
308700.KS,테크엔,코스피
310870.KS,디와이씨,코스피
309930.KS,오하임앤컴퍼니,코스피
